model,training_time_sec,inference_time_sec,inference_samples_per_sec,num_predictions
TFIDF_LR,0.010492908000003354,0.0032490689999917777,92334.14248843567,300
NGram_SVM,0.014327269000034448,0.003093599000010272,96974.43010519589,300
GloVe_LR,0.003369351000003462,0.0005904660000055628,508073.28448576835,300
CNNText_GloVe,2.4950264490000222,0.16642041900001914,1802.6634099507075,300
BiLSTM_GloVe,1.5973634160000074,0.07447895500001778,4027.983475331097,300
DistilBERT,5.733910848999983,0.06603696399997716,4542.910240393604,300
