model,in_domain_accuracy,out_domain_accuracy,accuracy_drop,in_domain_f1,out_domain_f1,f1_drop,in_domain_precision,in_domain_recall,out_domain_precision,out_domain_recall,inference_time_sec,inference_samples_per_sec,num_predictions,training_time_sec
TFIDF_LR,1.0,0.9,0.09999999999999998,1.0,0.8984383886640992,0.1015616113359008,1.0,1.0,0.9126863553648642,0.8962791965244714,0.0032490689999917777,92334.14248843567,300,0.010492908000003354
NGram_SVM,1.0,0.898,0.10199999999999998,1.0,0.8979310013569173,0.10206899864308272,1.0,1.0,0.9038337316710807,0.9008881193991568,0.003093599000010272,96974.43010519589,300,0.014327269000034448
GloVe_LR,0.54,0.522,0.018000000000000016,0.35064935064935066,0.34296977660972405,0.007679574039626602,0.27,0.5,0.261,0.5,0.0005904660000055628,508073.28448576835,300,0.003369351000003462
CNNText_GloVe,1.0,0.864,0.136,1.0,0.8594460520876395,0.14055394791236053,1.0,1.0,0.8966565349544073,0.8577405857740585,0.16642041900001914,1802.6634099507075,300,2.4950264490000222
BiLSTM_GloVe,1.0,0.726,0.274,1.0,0.7143440965141639,0.28565590348583614,1.0,1.0,0.7950796701096965,0.7363135029416952,0.07447895500001778,4027.983475331097,300,1.5973634160000074
DistilBERT,1.0,0.62,0.38,1.0,0.536711922596754,0.46328807740324596,1.0,1.0,0.7893569844789357,0.602510460251046,0.06603696399997716,4542.910240393604,300,5.733910848999983
