accuracy,precision_macro,recall_macro,f1_macro,noise_level,model
1.0,1.0,1.0,1.0,0.05,TFIDF_LR
0.98,0.9804519368723099,0.9793344068706387,0.9798486409027809,0.1,TFIDF_LR
0.9433333333333334,0.946484428124575,0.940552871712292,0.9426392684819651,0.15,TFIDF_LR
1.0,1.0,1.0,1.0,0.05,NGram_SVM
0.99,0.9893617021276595,0.9907407407407407,0.9899507587177168,0.1,NGram_SVM
0.9566666666666667,0.9564202853460153,0.9593397745571659,0.9565851432133674,0.15,NGram_SVM
0.54,0.27,0.5,0.35064935064935066,0.05,GloVe_LR
0.54,0.27,0.5,0.35064935064935066,0.1,GloVe_LR
0.54,0.27,0.5,0.35064935064935066,0.15,GloVe_LR
1.0,1.0,1.0,1.0,0.05,CNNText_GloVe
0.9633333333333334,0.9657391932788292,0.9612184648416533,0.9629375891463292,0.1,CNNText_GloVe
0.9233333333333333,0.9378378378378378,0.9166666666666667,0.9214042441708148,0.15,CNNText_GloVe
0.9633333333333334,0.9630872483221476,0.9660493827160495,0.9632643519497723,0.05,BiLSTM_GloVe
0.8666666666666667,0.8876404494382022,0.8765432098765432,0.866286325548226,0.1,BiLSTM_GloVe
0.7233333333333334,0.8122171945701357,0.7438271604938271,0.7122019440816468,0.15,BiLSTM_GloVe
0.9633333333333334,0.9682080924855492,0.9601449275362319,0.9628273725711067,0.05,DistilBERT
0.8333333333333334,0.8820754716981132,0.8188405797101449,0.8225356111873551,0.1,DistilBERT
0.74,0.8375,0.717391304347826,0.7060153776571687,0.15,DistilBERT
